"","Text","Types","Tokens","Sentences","Name","Titel","Jahr"
"1","achleitner_bergrichters_1900.txt",9964,55344,3460,"achleitner","bergrichters",1900
"2","achleitner_celsissimus_1901.txt",13292,79887,3807,"achleitner","celsissimus",1901
"3","achleitner_tann_1897.txt",11317,64034,3329,"achleitner","tann",1897
"4","akunian_bittersuess_1891.txt",9099,63617,3365,"akunian","bittersuess",1891
"5","akunian_fluegel_1895.txt",12299,91726,5136,"akunian","fluegel",1895
"6","altenberg_prodromos_1906.txt",7882,39268,2729,"altenberg","prodromos",1906
"7","andreas_fenitschka_1898.txt",7339,45240,2171,"andreas","fenitschka",1898
"8","bierbaum_stilpe_1897.txt",12166,73121,4618,"bierbaum","stilpe",1897
"9","bonsels_himmelsvolk_1915.txt",7076,56285,2131,"bonsels","himmelsvolk",1915
"10","bonsels_indien_1916.txt",11765,78340,2614,"bonsels","indien",1916
"11","bonsels_maja_1912.txt",5912,44623,2511,"bonsels","maja",1912
"12","brod_beer_1912.txt",9764,52906,2036,"brod","beer",1912
"13","brod_stunde_1916.txt",3222,12244,553,"brod","stunde",1916
"14","brodkafka_samuel_1912.txt",1796,5407,241,"brodkafka","samuel",1912
"15","conradi_adam_1889.txt",15118,120658,6834,"conradi","adam",1889
"16","dery_liebe_1896.txt",1513,4472,422,"dery","liebe",1896
"17","doeblin_butterblume_1913.txt",7088,37356,1862,"doeblin","butterblume",1913
"18","einstein_bebuquin_1912.txt",4078,15842,993,"einstein","bebuquin",1912
"19","eschstruth_katz_1886.txt",8551,42812,1405,"eschstruth","katz",1886
"20","falke_durchschnitt_1892.txt",7536,39565,2569,"falke","durchschnitt",1892
"21","falke_nebel_1899.txt",8128,47801,3895,"falke","nebel",1899
"22","feuchtwanger_herzogin_1923.txt",13581,93335,5800,"feuchtwanger","herzogin",1923
"23","fontane_briest_1896.txt",11870,118159,5875,"fontane","briest",1896
"24","fontane_irrungen_1888.txt",8840,63600,3546,"fontane","irrungen",1888
"25","fontane_reise_1894.txt",8109,43885,2167,"fontane","reise",1894
"26","fontane_stechlin_1899.txt",16173,156153,8998,"fontane","stechlin",1899
"27","fontane_wuthenow_1883.txt",8712,50799,2671,"fontane","wuthenow",1883
"28","hagenauer_muspilli_1900.txt",6425,27955,1598,"hagenauer","muspilli",1900
"29","hauptmann_bahnwaerter_1892.txt",4677,18227,901,"hauptmann","bahnwaerter",1892
"30","heiberg_charaktere_1901.txt",10030,74845,3830,"heiberg","charaktere",1901
"31","heiberg_frau_1886.txt",9874,71937,4081,"heiberg","frau",1886
"32","heiberg_grevinde_1898.txt",10352,73496,3558,"heiberg","grevinde",1898
"33","heiberg_todsunden_1891.txt",11828,104828,4926,"heiberg","todsunden",1891
"34","hesse_knulp_1915.txt",5079,30827,1628,"hesse","knulp",1915
"35","hesse_rad_1906.txt",10274,57237,2734,"hesse","rad",1906
"36","hesse_siddhartha_1922.txt",5557,42150,1854,"hesse","siddhartha",1922
"37","heyking_erzaehlungen_1918.txt",6211,27585,1057,"heyking","erzaehlungen",1918
"38","holz_hamlet_1889.txt",5538,31291,2934,"holz","hamlet",1889
"39","kafka_amerika_1925.txt",10421,100231,4023,"kafka","amerika",1925
"40","kafka_bau_1928.txt",2929,14795,416,"kafka","bau",1928
"41","kafka_betrachtung_1912.txt",1961,7029,321,"kafka","betrachtung",1912
"42","kafka_hungerkünstler_1924.txt",3335,15211,380,"kafka","hungerkünstler",1924
"43","kafka_kuebelreiter_1917.txt",406,1011,47,"kafka","kuebelreiter",1917
"44","kafka_landarzt_1920.txt",3813,15674,663,"kafka","landarzt",1920
"45","kafka_prozess_1925.txt",8519,87531,3802,"kafka","prozess",1925
"46","kafka_schloss_1925.txt",11398,133458,4631,"kafka","schloss",1925
"47","kafka_strafkolonie_1919.txt",2505,12251,522,"kafka","strafkolonie",1919
"48","kafka_urteil_1913.txt",1345,4792,237,"kafka","urteil",1913
"49","kafka_verwandlung_1915.txt",3968,22291,720,"kafka","verwandlung",1915
"50","keller_sinngedicht_1882.txt",15206,101468,3262,"keller","sinngedicht",1882
"51","keyserling_beatemareile_1903.txt",6087,39256,3025,"keyserling","beatemareile",1903
"52","kraft_medizinmann_1896.txt",2298,8536,443,"kraft","medizinmann",1896
"53","kretzer_timpe_1888.txt",11947,91936,4154,"kretzer","timpe",1888
"54","lasswitz_planeten01_1897.txt",12025,105468,5735,"lasswitz","planeten01",1897
"55","lasswitz_seife_1890.txt",10922,64482,3311,"lasswitz","seife",1890
"56","mann_budden_1901.txt",26689,285082,12806,"mann","budden",1901
"57","mann_tonio_1903.txt",5438,26077,1151,"mann","tonio",1903
"58","mann_tristan_1903.txt",4088,17413,852,"mann","tristan",1903
"59","mann_venedig_1913.txt",7588,29514,1011,"mann","venedig",1913
"60","mann_zauberberg_1924.txt",36339,320828,12198,"mann","zauberberg",1924
"61","may_kurdistan_1892.txt",14148,191620,14621,"may","kurdistan",1892
"62","may_winnetou_1893.txt",13599,196455,12244,"may","winnetou",1893
"63","may_wuste_1892.txt",15661,186995,13488,"may","wuste",1892
"64","meissner_prinzessin_1882.txt",6618,36167,1727,"meissner","prinzessin",1882
"65","meyer_borgia_1891.txt",8768,44187,2134,"meyer","borgia",1891
"66","meyer_monchs_1884.txt",7147,33631,1906,"meyer","monchs",1884
"67","meyer_pescara_1887.txt",8522,46025,2595,"meyer","pescara",1887
"68","meyer_richterin_1885.txt",5608,28201,1959,"meyer","richterin",1885
"69","musil_haus_1908.txt",1842,7346,231,"musil","haus",1908
"70","musil_mann1_1930.txt",29109,315829,10606,"musil","mann1",1930
"71","musil_mann2_1930.txt",19193,184126,7359,"musil","mann2",1930
"72","musil_mann3_1930.txt",17298,150064,5570,"musil","mann3",1930
"73","musil_toerless_1906.txt",9007,61770,3254,"musil","toerless",1906
"74","nietzsche_zarathustra_1885.txt",11294,102345,5734,"nietzsche","zarathustra",1885
"75","polenz_buettnerbauer_1895.txt",17469,146539,9191,"polenz","buettnerbauer",1895
"76","preuschen_yoshiwara_1920.txt",5179,25300,1221,"preuschen","yoshiwara",1920
"77","raabe_akten_1896.txt",9899,72206,2518,"raabe","akten",1896
"78","raabe_odfeld_1889.txt",11040,70770,2886,"raabe","odfeld",1889
"79","raabe_stopfkuchen_1891.txt",10007,75504,3036,"raabe","stopfkuchen",1891
"80","reventlow_dames_1913.txt",6250,42310,1571,"reventlow","dames",1913
"81","sapper_dummerle_1905.txt",9360,104423,5068,"sapper","dummerle",1905
"82","sapper_kriegsbuchlein_1914.txt",4896,30387,1678,"sapper","kriegsbuchlein",1914
"83","sapper_pfaffling_1907.txt",8253,77688,3698,"sapper","pfaffling",1907
"84","sapper_vater_1915.txt",4518,32657,1921,"sapper","vater",1915
"85","schnitzler_casanova_1918.txt",7082,43412,1381,"schnitzler","casanova",1918
"86","schnitzler_else_1924.txt",2825,19276,1803,"schnitzler","else",1924
"87","schnitzler_tanzerin_1905.txt",5743,41138,2240,"schnitzler","tanzerin",1905
"88","schnitzler_traumnovelle_1926.txt",5093,27454,1414,"schnitzler","traumnovelle",1926
"89","schreiner_halket_1898.txt",4480,25930,1286,"schreiner","halket",1898
"90","schubin_etiquette_1887.txt",4287,17083,692,"schubin","etiquette",1887
"91","schubin_vollmondzauber01_1899.txt",6535,34554,1706,"schubin","vollmondzauber01",1899
"92","schubin_vollmondzauber02_1899.txt",6434,35597,1899,"schubin","vollmondzauber02",1899
"93","spyri_heidibrauchen_1881.txt",5090,43925,1873,"spyri","heidibrauchen",1881
"94","spyri_heidilehr_1880.txt",6201,61418,2111,"spyri","heidilehr",1880
"95","storm_basch_1887.txt",4041,21601,890,"storm","basch",1887
"96","storm_doppelgaenger_1887.txt",4200,24277,1019,"storm","doppelgaenger",1887
"97","storm_riew_1885.txt",6959,49612,2286,"storm","riew",1885
"98","storm_schimmelreiter_1888.txt",6702,47287,1762,"storm","schimmelreiter",1888
"99","sturza_geluebde_1905.txt",8400,57335,3430,"sturza","geluebde",1905
"100","walser_gehuelfe_1908.txt",12118,87707,4413,"walser","gehuelfe",1908
"101","walser_geschwister_1907.txt",12198,104316,4816,"walser","geschwister",1907
"102","walser_jakob_1909.txt",8191,51869,3298,"walser","jakob",1909
"103","walser_kleine_1914.txt",8177,49964,2516,"walser","kleine",1914
"104","walser_prosastücke_1917.txt",3579,13342,493,"walser","prosastücke",1917
"105","walser_schlacht_1908.txt",1159,2784,99,"walser","schlacht",1908
"106","walser_spaziergang_1917.txt",5471,20327,698,"walser","spaziergang",1917
"107","wassermann_moloch_1902.txt",12530,94915,5901,"wassermann","moloch",1902
"108","wassermann_spiegel_1911.txt",15241,92492,3679,"wassermann","spiegel",1911
"109","wassermann_vierzig_1913.txt",8882,49664,2310,"wassermann","vierzig",1913
